TeilnehmerID,Gruppe,RaumlicheGruppe,Pressure,map,place,V,O,G,uncertainty,dec,conf,dec_rt,conf_rt,trial,correct,unc_c,pres_c
OZ_T06,1,1,Control,K20,Tschiertschen,V3,O1,G2,OU,7,2,29,4,7,1,-0.5,-0.5
OZ_T06,1,1,Control,K22,Klosters,V2,O2,G2,OU,8,3,19,4,8,1,-0.5,-0.5
OZ_T06,1,1,Control,K24,Arosa,V1,O1,G1,MU,7,4,18,3,9,1,0.5,-0.5
OZ_T06,1,1,Control,K26,Berguen,V3,O2,G2,MU,7,3,24,3,10,1,0.5,-0.5
OZ_T06,1,1,Control,K28,Bivio,V3,O1,G1,MU,7,2,46,3,11,1,0.5,-0.5
OZ_T06,1,1,Control,K30,Churwalden,V2,O1,G2,MU,7,3,39,6,12,1,0.5,-0.5
OZ_T06,1,1,Control,K32,Kloster,V2,O2,G1,MU,7,2,37,6,13,1,0.5,-0.5
OZ_T06,1,1,Control,K34,SanBernadino,V4,O2,G1,MU,4,2,30,3,14,0,0.5,-0.5
OZ_T06,1,1,Control,K36,Serneus,V1,O2,G2,MU,7,2,48,4,15,1,0.5,-0.5
OZ_T06,1,1,Control,K38,Tschiertschen,V3,O1,G1,MU,7,2,23,5,16,1,0.5,-0.5
OZ_T10,1,1,Control,K8,Arosa,V1,O1,G2,OU,7,2,58,9,1,1,-0.5,-0.5
OZ_T10,1,1,Control,K10,Berguen,V3,O2,G1,OU,8,4,17,3,2,1,-0.5,-0.5
OZ_T10,1,1,Control,K12,Bivio,V4,O1,G1,OU,8,1,68,4,3,1,-0.5,-0.5
OZ_T10,1,1,Control,K14,Churwalden,V2,O1,G1,OU,7,5,8,4,4,1,-0.5,-0.5
OZ_T10,1,1,Control,K16,SanBernadino,V4,O2,G2,OU,8,3,18,2,5,1,-0.5,-0.5
OZ_T10,1,1,Control,K18,Serneus,V1,O2,G1,OU,2,4,17,3,6,0,-0.5,-0.5
OZ_T10,1,1,Control,K20,Tschiertschen,V3,O1,G2,OU,7,1,47,3,7,1,-0.5,-0.5
OZ_T10,1,1,Control,K22,Klosters,V2,O2,G2,OU,8,4,22,4,8,1,-0.5,-0.5
